mass,metallicity,lifetime_Gyr
0.1,0.0004,42.8
0.5,0.0004,42.8
0.6,0.0004,42.8
0.7,0.0004,23.7
0.8,0.0004,14.1
0.9,0.0004,8.97
1.0,0.0004,6.03
1.1,0.0004,4.23
1.2,0.0004,3.08
1.3,0.0004,2.34
1.4,0.0004,1.92
1.5,0.0004,1.66
1.6,0.0004,1.39
1.7,0.0004,1.18
1.8,0.0004,1.11
1.9,0.0004,0.966
2.0,0.0004,0.833
2.5,0.0004,0.464
3.0,0.0004,0.303
4.0,0.0004,0.161
5.0,0.0004,0.101
6.0,0.0004,0.0715
7.0,0.0004,0.0533
9.0,0.0004,0.0342
12.0,0.0004,0.0213
15.0,0.0004,0.0154
20.0,0.0004,0.0106
30.0,0.0004,0.0069
40.0,0.0004,0.00545
60.0,0.0004,0.0042
100.0,0.0004,0.00332
120.0,0.0004,0.00311
0.1,0.004,53.5
0.5,0.004,53.5
0.6,0.004,53.5
0.7,0.004,29.5
0.8,0.004,17.3
0.9,0.004,10.9
1.0,0.004,7.13
1.1,0.004,4.93
1.2,0.004,3.52
1.3,0.004,2.64
1.4,0.004,2.39
1.5,0.004,1.95
1.6,0.004,1.63
1.7,0.004,1.28
1.8,0.004,1.25
1.9,0.004,1.23
2.0,0.004,1.08
2.5,0.004,0.598
3.0,0.004,0.367
4.0,0.004,0.182
5.0,0.004,0.111
6.0,0.004,0.0762
7.0,0.004,0.0561
9.0,0.004,0.0351
12.0,0.004,0.0214
15.0,0.004,0.0152
20.0,0.004,0.0105
30.0,0.004,0.00685
40.0,0.004,0.00544
60.0,0.004,0.00419
100.0,0.004,0.00338
120.0,0.004,0.00323
0.1,0.008,64.7
0.5,0.008,64.7
0.6,0.008,64.7
0.7,0.008,35.4
0.8,0.008,20.9
0.9,0.008,13.0
1.0,0.008,8.46
1.1,0.008,5.72
1.2,0.008,4.12
1.3,0.008,2.92
1.4,0.008,2.36
1.5,0.008,2.18
1.6,0.008,1.82
1.7,0.008,1.58
1.8,0.008,1.41
1.9,0.008,1.25
2.0,0.008,1.23
2.5,0.008,0.686
3.0,0.008,0.412
4.0,0.008,0.193
5.0,0.008,0.115
6.0,0.008,0.0771
7.0,0.008,0.0559
9.0,0.008,0.0344
12.0,0.008,0.021
15.0,0.008,0.0149
20.0,0.008,0.0101
30.0,0.008,0.00665
40.0,0.008,0.0053
60.0,0.008,0.00415
100.0,0.008,0.00344
120.0,0.008,0.00332
0.1,0.02,79.2
0.5,0.02,79.2
0.6,0.02,79.2
0.7,0.02,44.5
0.8,0.02,26.1
0.9,0.02,15.9
1.0,0.02,10.3
1.1,0.02,6.89
1.2,0.02,4.73
1.3,0.02,3.59
1.4,0.02,2.87
1.5,0.02,2.64
1.6,0.02,2.18
1.7,0.02,1.84
1.8,0.02,1.59
1.9,0.02,1.38
2.0,0.02,1.21
2.5,0.02,0.764
3.0,0.02,0.456
4.0,0.02,0.203
5.0,0.02,0.115
6.0,0.02,0.0745
7.0,0.02,0.0531
9.0,0.02,0.0317
12.0,0.02,0.0189
15.0,0.02,0.0133
20.0,0.02,0.00915
30.0,0.02,0.00613
40.0,0.02,0.00512
60.0,0.02,0.00412
100.0,0.02,0.00339
120.0,0.02,0.00323
0.1,0.05,71.8
0.5,0.05,71.8
0.6,0.05,71.8
0.7,0.05,40.0
0.8,0.05,23.3
0.9,0.05,14.2
1.0,0.05,8.88
1.1,0.05,5.95
1.2,0.05,4.39
1.3,0.05,3.37
1.4,0.05,3.1
1.5,0.05,2.51
1.6,0.05,2.06
1.7,0.05,1.76
1.8,0.05,1.51
1.9,0.05,1.34
2.0,0.05,1.24
2.5,0.05,0.658
3.0,0.05,0.381
4.0,0.05,0.164
5.0,0.05,0.0891
6.0,0.05,0.0567
7.0,0.05,0.0397
9.0,0.05,0.0233
12.0,0.05,0.0139
15.0,0.05,0.00995
20.0,0.05,0.00699
30.0,0.05,0.00515
40.0,0.05,0.00434
60.0,0.05,0.00362
100.0,0.05,0.003110001
120.0,0.05,0.00311
